unmittelbare Anstellung,Q506999,,Q-1770 Person,1770,1771,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliches Geheimde-Raths-Collegium,,,Q452246,Albrecht Anton von Rüxleben,Friedrich Carl von Lichtenstein,neu ,Wirlicher Geheimer Rat,Oberaufseher zu Eisenberg,,,,Eisenberg,Seine Excellenz,,Friedrich,Carl,,,,von Lichtenstein
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506996,Friedrich von Schwarzenfels,Friedrich von Schwarzenfels,,Wirlicher Geheimer Rat,Cammepräsident,Landschaftsdirektot,Obersteuereinnehmer zu Altenburg,,Altenburg,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,,,Sylvius Friedrich Ludwig von Frankenberg,neu,Freyherr von Frankenberg,Wirlicher Geheimer Rat,Amtshauptmann der Aemter Leuchtenburg  und Orlamünde,,,,Seine Excellenz,,Sylvius,Friedrich,Ludwig,,,von Frankenberg
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506999,,Johann von Rothkirch und Trach,neu,Wirlicher Geheimer Rat,Canzler zu Altenburg,,,,Altenburg,Seine Excellenz,,Johann,,,,,von Rothkirch und Trach
Geheimer Assistenz-Rat ,Q506787,,,,Heinrich Ernst Gotter,neu,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506997,Johann Peter Bühren,,weg,,,,,,,Seine Excellenz,,,,,,,
Deutsche Expedition,Q506890,,Q101872,Heinrich Ernst Gotter,,weg,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q452246,Albrecht Anton von Rüxleben,,weg,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506998,Johann Valentin Flittner,,weg,Geheimer Sekretär,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q506999,Johann von Rothkirch und Trach,,weg,Geheimer Kanzleisekretär,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,,,,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,,Johann Christian von Hoff,neu,Legitions-Rath,,,,,,,,Johann,Christian,,,,von Hoff
Deutsche Expedition,Q506890,,,,Friedrich Heinrich Carl Lauretti,neu,Geheimer Canzley-Secetarius,,,,,,,,Friedrich,Heinrich,Carl,,,Lauretti
Deutsche Expedition,Q506890,,,,Johann Friedrich Wilhelm Gotter,neu,Legitions-Secetarius,,,,,,,,Johann,Wilhelm,,,,Gotter
Deutsche Expedition,Q506890,,,,Johann Siegmund Friedrich Waiß,neu,Geheimer Canzley-Secetarius,,,,,,,,Johann,Siegmund,Friedrich,,,Waiß
Deutsche Expedition,Q506890,,,,Abraham Samuel Perrin,neu,Geheimer Post-Secetarius,,,,,,,,Abraham,Samuel,,,,Perrin
Deutsche Expedition,Q506890,,,,Philipp Friedrich Welker,neu,Registrator,,,,,,,,Philipp,Friedrich,,,,Welker
Deutsche Expedition,Q506890,,,,Johann Christph Bernhard Rotschiedler,neu,Geheimer Canzley-Actuarius,,,,,,,,Johann,Christph,Bernhard,,,Rotschiedler
Deutsche Expedition,Q506890,,,,Michael Siegmund Christian Weißenborn,neu,Geheimer Canzley-Actuarius,,,,,,,,Michael,Christian,Siegmund,,,Weißenborn
Deutsche Expedition,Q506890,,,,Christian Ernst Angelroth,neu,Canzlist,,,,,,,,Christian,Ernst,,,,Christian Angelroth
Französische Expedition,Q506891,,,,Jaoqunes Auguste Roussenau,neu,,,,,,,,,Jaoqunes,Auguste,,,,Roussenau
Französische Expedition,Q506891,,,,Abraham Samuel Perrin,neu,Geheimer Post-Secetarius,,,,,,,,Abraham,Samuel,,,,Perrin
Geheime Canzlei Bothen,Q506893,,,,Johannes Georg Döring,unverändert,,,,,,,,,,,,,,
Geheime Canzlei Bothen,Q506893,,,,Michael Meißner,unverändert,,,,,,,,,,,,,,
Geheime Canzlei Bothen,Q506893,,,,August Jacob Hild,neu,Substitut,,,,,,,,August,Jacob,,,,Hild
Geheimes Archiv,Q506894,,,,Ludwig Christian Lichtenberg,unverändert,,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,,Johann Friedrich Wilhelm Gotter,unverändert,,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,,Johann Siegmund Friedrich Waiß,unverändert,,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,,Philipp Friedrich Welker,unverändert,,,,,,,,,,,,,,
Geheimes Archiv,Q506894,,,,Johann Carl Friedrich Jenichen,neu,Geh. Archiv Actuarius,,,,,,,,Johann ,Carl,Friedrich,,,Jenichen
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Ernst August von Studnitz,unverändert,Wirklicher geheimer Rat,Canzler,,,,Gotha,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Johann Christoph Gensel,unverändert,Geheimer Reierungsrath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Georg Heinrich Hessen,unverändert,Hofrat,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Johann Friedrich Rudolph,unverändert,Hofrat,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Heinrich Christoph Bertuch,unverändert,Hofrat,Steuer Assessor,,,,,,,,,,,,
,Q506890,,Q28050,Sylvius Friedrich Ludwig von Frankenberg,,weg,Geheimer Kanzleisekretär,,,,,,,,,,,,,
,Q506890,,Q459052,Nicolaus David Briegleb,,weg,Geheimer Bothenmeister,,,,,,,,,,,,,
,Q506890,,Q507000,Friedrich Wilhelm von Repita,,weg,Geheimer Canzley-Actuarius,,,,,,,,,,,,,
,Q506891,,Q507006,Michael Siegmund Christian Weißenborn,,weg,Canzlist,,,,,,,,,,,,,
,Q506890,,,Christian Ernst Angelroth,,weg,Canslist,,,,,,,,,,,,,
,Q506891,,,Johann Carl Friedrich Jenichen,,weg,Acceßist,,,,,,,,,,,,,
,Q506891,,Q513415,Friedrich Heinrich von Einsiedel,,weg,Hofrat,,,,,,,,,,,,,
,Q506891,,,Jaoqunes Auguste Roussenau,,weg,Hofrat,,,,,,,,,,,,,
,Q506892,,,,,weg,,,,,,,,,,,,,,
,Q506892,,Q101891,Ernst Wilhelm Schierschmidt,,weg,Geheimer Bothenmeister,,,,,,,,,,,,,
,Q506892,,Q507009,Johann Philip Schönkopf,,weg,Geheimer Post Secretarius,,,,,,,,,,,,,
,Q506893,,,,,weg,,,,,,,,,,,,,,
,Q506893,,Q507010,Johannes Georg Döring,,weg,,,,,,,,,,,,,,
,Q506894,,Q513358,Michael Meißner,,weg,,,,,,,,,,,,,,
,Q506894,,Q192749,Friedrich Christian John,,weg,Geheimer Secretarius,,,,,,,,,,,,,
,Q506894,,Q14201,Ludwig Christian Lichtenberg,,weg,erster Geheimer Archivarius,,,,,,,,,,,,,
,Q506894,,Q10781,Johann Friedrich Wilhelm Gotter,,weg,Legitions zweiter Geheimer Archivarius,,,,,,,,,,,,,
,Q506894,,Q507011,Johann Siegmund Friedrich Waiß,,weg,Geheimer Kanzlei Secretarius,,,,,,,,,,,,,
,Q506894,,Q99153,Philipp Friedrich Welker,,weg,Archiv Archivarius,,,,,,,,,,,,,
,Q506894,,,,,weg,,,,,,,,,,,,,,
,Q506759,,Q507012,Johann Elias Saurbey,,weg,Archiv Kanzlist,,,,,,,,,,,,,
,Q506759,,Q34640,Ernst August von Studnitz,,weg,Wirklicher Geheimer Rat,,,,,,Seine Excellenz,,,,,,,
,Q506759,,Q264335,Johann Christoph Gensel,,weg,Geheimer Regirungsrat,,,,,,,,,,,,,
,Q506759,,Q507013,Georg Heinrich Hessen,,weg,Hof Rath,,,,,,,,,,,,,
,Q506759,,Q507014,Johann Friedrich Rudolph,,weg,Hof Rath,,,,,,,,,,,,,
,Q506759,,Q192534,Heinrich Christoph Bertuch,,weg,Hof Rath,,,,,,Leutnand,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q507015,Philip von Gremmingen zu Guttenberg,Philip von Gremmingen zu Guttenberg,unverändert,Hof Rath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q219440,August Friedrich Carl von Ziegesar,August Friedrich Carl von Ziegesar,andere Quali,Regierungsrat,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q468898,Christian Ludwig Heinrich Jäger,Christian Ludwig Heinrich Jäger,unverändert,Regierungsrat,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Wolf Johann Ludwig Friedemann Graf von Auersberg,Wolf Johann Ludwig Friedemann Graf von Auersberg,andere Quali,Legations-Rath,Cammerjunker,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q513242,Carl Cristian Anton von Schwarzenfels,,weg,Legations-Rath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Heinrich Ulrich von Bülow,Heinrich Ulrich von Bülow,unverändert,Regierungsrat,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Carl Ludwig Alexander von Seebach,neu,Regierungsassessor,,,,,,,,Carl,Ludwig,Alexander,,,von Seebach
Herzogliche Landes-Regierung zu Gotha,Q506759,,,,Friedrich Emilius von Uechtritz,neu,Regierungsassessor,Hof-Junker,,,,,,,Friedrich,Emilius,,,,von Uechtritz
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q97795,Christian Friedrich Brückner,Christian Friedrich Brückner,andere Quali,Rath ,Regierungs Secretarius,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,erster Lehns Secretarius,,,,,,,,,,,,,
