unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Bürgermeister,Q506872,,Q192895,Johann Andreas Gerlach,Johann Andreas Gerlach,unverändert,extraord. Hofadvocat,,,,,,,,,,,,,,,,,
Prokonsul,Q506810,,Q22952,Wilhelm Heinrich Jacobs,Wilhelm Heinrich Jacobs,unverändert,extraord. Hofadvocat,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q507035,Johann Georg Maurer,Johann Georg Maurer,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q507182,Johann Wilhelm Dürfeld,Johann Wilhelm Dürfeld,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q507630,Matthäus Gottfried Arnold,Matthäus Gottfried Arnold,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q192319,Johann Heinrich Stopfel,Johann Heinrich Stopfel,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q507910,Fiedrich Tobias Gatzert,Fiedrich Tobias Gatzert,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q507116,Christian Balthasar Breithaupt,Christian Balthasar Breithaupt,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q513276,Johann Matthäus Bertuch,Johann Matthäus Bertuch,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q161767,Johann Adolph Seyfarth,Johann Adolph Seyfarth,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q262916,Friedrich Frühauf,Friedrich Frühauf,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,,,Johann Friedrich Eckhardt,neu,,,,,,,,,,,,Johann,Friedrich,,,,Eckhardt,
Rathsherren,Q506811,,Q507458,Johann Adolph Hild,Johann Adolph Hild,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q77947,Georg Tobias Bieber,Georg Tobias Bieber,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q29351,Johann Christian Klug,Johann Christian Klug,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,,Gottfried Morgenrod,Gottfried Morgenrod,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,,Jonas Elias Dornheim,Jonas Elias Dornheim,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,Q42356,Johann Friedrich Wenig,Johann Friedrich Wenig,unverändert,,,,,,,,,,,,,,,,,,
Rathsherren,Q506811,,,Johann Gottlieb Heydenreich,Johann Gottlieb Heydenreich,unverändert,,,,,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,,Johann Friedrich Schönkopf,Johann Friedrich Schönkopf,unverändert,Amts-Advocat,,,Ober-Stadtschreiber,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,Q507377,Johann Christian Heß,Johann Christian Heß,unverändert,Geistlicher Untergericht,,,Vormundschafts-Actuarius,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,Q507436,Friedrich Gottfried Eißer,Friedrich Gottfried Eißer,unverändert,Acttuarius,,,Rathsschreiber,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,Q192907,Johann Friedrich Möller,Johann Friedrich Möller,unverändert,Policey-Commissar,,,Arciv-Actuarius,Rathsschreiber,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,Q193042,,Johann Georg Mahn,neu,Raths-Accesstent,,,,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,Q192907,Johann Friedrich Gewalt,Johann Friedrich Gewalt,unverändert,Raths-Copist,,,,,,,,,,,,,,,,,
Ober-Stadtschreiberei,Q506798,,,,Melichor Nicolaus Möller,neu,Raths-Copist,,,,,,,,,,,Melichor,Nicolaus,,,,Möller,
Ober-Stadtschreiberei,Q506799,,,,Johann August Hild,neu,Raths-Copist,,,,,,,,,,,Johann,August,,,,Hild,
Rats-Cämmerer,Q506812,,,,Johann Wilhelm Dürfeld,neu,Cämmerer,,,,,,,,,,,Johann,Wilhelm,,,,Dürfeld,
Rats-Cämmerer,Q506812,,,,Johann Heinrich Stopfel,neu,Cämmerer,,,,,,,,,,,Johann,Heinrich,,,,Stopfel,
Rats-Cämmerer,Q506812,,,Johann Wilhelm Geitner,Johann Wilhelm Geitner,unverändert,Unter-Stadtschreiber,,,,,,,,,,,,,,,,,
Rats-Cämmerer,Q506812,,,Johann Heinrich Philipp Hofman,Johann Heinrich Philipp Hofman,andere Qualli,Acceßist,,,,,,,,,,,,,,,,,
Rats-Cämmerer,Q506812,,Q156010,Friedrich August Bause,Friedrich August Bause,unverändert,Bau-Inspector,,,Stadt Bauverwalter,,,,,,,,,,,,,,
Rats-Cämmerer,Q506812,,,Johann Caspar Schloß,Johann Caspar Schloß,unverändert,Raths-Hausvoigt,,,,,,,,,,,,,,,,,
Rats-Cämmerer,Q506812,,,,Zacharias Bachmann,neu,Raths-Bothe,,,,,,,,,,,Zacharias,,,,,Bachmann,
Rats-Cämmerer,Q506812,,Q257994,,Johann Christoph Grobe,neu,Rathsdiener,,,,,,,,,,,Johann,Christoph,,,,Grobe,
Rats-Cämmerer,Q506812,,,,Jeremias Justin Geißke,neu,Rathsdiener,,,,,,,,,,,Jeremias,Justin,,,,Geißke,
Rats-Cämmerer,Q506812,,,,Johann Michael Oberländer,neu,Rathsdiener,,,,,,,,,,,Johann,Michael,,,,Oberländer,
Rats-Cämmerer,Q506812,,,,Johann Friedrich Jung,neu,Rathsdiener,,,,,,,,,,,Johann,Friedrich,,,,Jung,
Rats-Cämmerer,Q506812,,Q513255,,Friedrich Büchner,neu,Rath,,,Leib-Medic. ,Accoucheur,,,,,,,Friedrich,,,,,Büchner,
Rats-Cämmerer,Q506812,,Q80296,,Johann Andreas Bieber,neu,Stadt-Physikus,,,,,,,,,,,Johann,Andreas,,,,Bieber,
Rats-Cämmerer,Q506812,,Q78107,,Johann Andreas Klötzer,neu,Stadt-Chirugus,,,,,,,,,,,Johann,Andreas,,,,Klötzer,
Rats-Cämmerer,Q506812,,,,Christian Friedrich Wieck,neu,Chirugus im Armenhaus,,,,,,,,,,,Christian,Friedrich,,,,Wieck,
Stadt-Ministerium zu Gotha,Q506784,,Q507466,Wilhelm Friedrich Stötzel,Wilhelm Friedrich Stötzel,unverändert,Consistorialrath,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q41468,Christian Ehrengott Credner,Christian Ehrengott Credner,unverändert,Archi-Diaconus,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q42047,Jacob Friedrich Schmidt,Jacob Friedrich Schmidt,unverändert,Diaconus,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,,Andreas Ernst Gasterstädt,Andreas Ernst Gasterstädt,unverändert,Diaconus,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q42732,Johann Wilhelm Hodermann,Johann Wilhelm Hodermann,unverändert,Hospital-Prediger,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q42337,Johann Ernst Rauch,Johann Ernst Rauch,unverändert,Stadt-Vicarius,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q513303,Johann Christian Ziegeldecker,Johann Christian Ziegeldecker,unverändert,Stadt Cantor,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q507320,Heinrich Gotthelf Walther,Heinrich Gotthelf Walther,unverändert,Stadt-Kirchner,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q192812,Christian Friedrich Härlein,Christian Friedrich Härlein,unverändert,Stadt-Kirchner,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q259687,Johann  Andreas Kellner,Johann  Andreas Kellner,unverändert,Stadt-Organist,,,,,,,,,,,,,,,,,
Stadt-Ministerium zu Gotha,Q506784,,Q507462,Johann Christoph Hofmann,Johann Christoph Hofmann,unverändert,Stadt-Musicus instrument,,,,,,,,,,,,,,,,,
Kirchen-Vorsteher,Q506776,,Q507116,Christian Balthasar Breithaupt,Christian Balthasar Breithaupt,unverändert,zu St. Augustin,,,,,,,,,,,,,,,,,
Kirchen-Vorsteher,Q506776,,Q507182,Johann Wilhelm Dürfeld,Johann Wilhelm Dürfeld,unverändert,zu St. Margarethä,,,,,,,,,,,,,,,,,
Bei der hiesingen Garnison,,,Q41788,Georg Caspar Gebhard,Georg Caspar Gebhard,unverändert,Garnison-Prediger,,,,,,,,,,,,,,,,,
Bei der hiesingen Garnison,,,Q507445,Johann Ambrosius Gläser,Johann Ambrosius Gläser,unverändert,Garnison-Cantor,,,,,,,,,,,,,,,,,
Geistliches Untergericht zu Gotha,Q506770,,Q43247,Wilhelm Friedrich Stölzel,Wilhelm Friedrich Stölzel,unverändert,Consistorialrath,,,General-Superintendens,Pastor primarius,,,,,,,,,,,,,
Geistliches Untergericht zu Gotha,Q506770,,,Christian Ludwig Walcher,Christian Ludwig Walcher,unverändert,Rath,,,Amtmann,,,,,,,,,,,,,,
Geistliches Untergericht zu Gotha,Q506770,,Q507185,Caspar Hermann Stieler,Caspar Hermann Stieler,unverändert,Hofrath,,,Bürgermeister,,,,,,,,,,,,,,
Geistliches Untergericht zu Gotha,Q506770,,Q507041,Ludwig Ernst Wilhelm Heßen,Ludwig Ernst Wilhelm Heßen,andere Qualli,Rath,,,ord. Hofadvocat,Bürgermeister,,,,,,,,,,,,,
Actuarius,Q506754,,Q513386,Johann Christian Heß,Johann Christian Heß,unverändert,,,,,,,,,,,,,,,,,,
Actuarius,Q506754,,Q507469,Friedrich Elias Waitz,Friedrich Elias Waitz,unverändert,Kassierer,,,,,,,,,,,,,,,,,
Actuarius,Q506754,,Q507459,Johann George Hildebrand,Johann George Hildebrand,unverändert,Ministratur-Collector,,,,,,,,,,,,,,,,,
Actuarius,Q506754,,Q507837,Johann Andreas Kachel,Johann Andreas Kachel,unverändert,Collectur-Diener,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q14200,Johann Gottfried Geißler,Johann Gottfried Geißler,unverändert,Kirchenrath,,,Rector,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q23543,Heinrich Blumenbach,Heinrich Blumenbach,unverändert,Prorector emeritus,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q156901,Johann Carl Baumeister,Johann Carl Baumeister,unverändert,Professor ,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q41788,Georg Caspar Gebhard,Georg Caspar Gebhard,unverändert,Professor ,,,Garnisons-Prediger,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q459052,Nicolaus David Briegleb,Nicolaus David Briegleb,unverändert,Professor,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q41803,Georg Ernst Schieck,Georg Ernst Schieck,unverändert,Professor,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q23587,Johann Heinrich Voigt,Johann Heinrich Voigt,andere Qualli,Professor,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q98198,Johann Friedrich Salomon Kaltwasser,Johann Friedrich Salomon Kaltwasser,unverändert,Colaborator,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q459052,Johann Christian Ziegeldecker,Johann Christian Ziegeldecker,unverändert,Cantor,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q192752,Johann Georg Kirsten,Johann Georg Kirsten,andere Qualli,Präceptor Class IV.,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q192437,Johann Christoph Görlach,Johann Christoph Görlach,andere Qualli,Präceptor Class V.,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q507607,Johann Jacob Machelet,Johann Jacob Machelet,unverändert,Präceptor Class VI.,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q465340,Johann Andreas Güthe,Johann Andreas Güthe,andere Qualli,Präceptor Class VII. em.,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q192817,,Johann Heinrich Haberkorn,neu,Substitut,,,,,,,,,,,Johann,Heinrich,,,,Haberkorn,
Gymnasium illustre zu Gotha,Q506791,,Q507480,Simon Tümpel,Simon Tümpel,unverändert,bei der Mägtelein-Schule,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q257457,Albrecht Jacob Blumenau,Albrecht Jacob Blumenau,unverändert,bei der Mägtelein-Schule,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,,,Georg Heinrich Friedrich Helbing,neu,Schuldiener vor dem Erfurter-Thor,,,,,,,,,,,Georg,Heinrich,Friedrich,,,Helbing,
Gymnasium illustre zu Gotha,Q506791,,Q507301,Johann Valentin Ackermann,Johann Valentin Ackermann,unverändert,Closter-Verwalter,,,,,,,,,,,,,,,,,
Gymnasium illustre zu Gotha,Q506791,,Q507561,Christoph Nicol Thieil,Christoph Nicol Thieil,unverändert,Einheizer,,,,,,,,,,,,,,,,,
Amt Gotha,,,,,Christian Ludwig Walcher,neu,Rath,,,Amtmann,,,,,,Dr.,,Christian,Ludwig,,,,Walcher,
Amt Gotha,,,Q507772,,Georg David Pleißner,neu,Amts-Commissar,,,Land-Richter,,,,,,,,Georg,David,,,,Pleißner,
Amt Gotha,,,Q192867,,Johann Elias Sauerbrey,neu,Amts-Registrator,,,,,,,,,,,Johann,Elias,,,,Sauerbrey,
Amt Gotha,,,Q513251,,Christian Ludwig Scharf,neu,Amts-Actuar,,,Pflegschreiber,,,,,,,,Christian,Ludwig,,,,Scharf,
Amt Gotha,,,,,Johann Georg Schonert,neu,Amts-Bothe,,,,,,,,,,,Johann,Georg,,,,Schonert,
Amt Gotha,,,,,Friedrich ,neu,Amtsdiener,,,,,,,,,,,N.N.,,,,,Friedrich ,
Amt Gotha,,,Q156476,,Heinrich Christian Dürfeld,neu,Land-Physikus,,,,,,,,,,,Heinrich,Christian,,,,Dürfeld,
Amt Gotha,,,Q156059,,Friedrich Georg Ludwig Gnüge,neu,Amts-Physikus,,,,,,,,,,,Friedrich,Georg,Ludwig,,,Gnüge,
Amt Gotha,,,,,Christian Heinrich Vognetz,neu,med. Practicus,,,Amts-Physikus,,,,,,,,Christian,Heinrich,,,,Vognetz,
Amt Gotha,,,Q161283,,Wilhelm Caspar Lohof,neu,Cammerdiener,,,Amts-Chirugus,,,,,,,,Wilhelm,Caspar,,,,Lohof,
Herzogliches Vorsteher-Amt,Q506773,,,Tobias Bernhard Kästner,Tobias Bernhard Kästner,unverändert,Vorsteheramts-Verwerser,,,,,,,,,,,,,,,,,
Herzogliches Vorsteher-Amt,Q506773,,Q507114,Johann Andreas Buckel,Johann Andreas Buckel,unverändert,Kornschreiber,,,,,,,,,,,,,,,,,
Herzogliches Vorsteher-Amt,Q506773,,Q507115,Johann Caspar Ehrle,Johann Caspar Ehrle,unverändert,Kornmesser,,,,,,,,,,,,,,,,,
Herzogliches Vorsteher-Amt,Q506773,,Q513400,Johann Georg Fischer,Johann Georg Fischer,unverändert,Zinskutscher,,,,,,,,,,,,,,,,,
Herzogliches Vorsteher-Amt,Q506773,,Q507117,Gottfried Kirst,Gottfried Kirst,unverändert,Zinskutscher,,,,,,,,,,,,,,,,,
Amts-Steuer und Tranksteuer-Einame,Q506828,,Q507417,Christian Ludwig Wachler,Christian Ludwig Wachler,neu,Rath,,,Amtsmann,Amts-Steuer-Einnehmer,,,,,,,Christian,Ludwig,,,,Wachler,
Amts-Steuer und Tranksteuer-Einame,Q506828,,Q513251,,Christian Ludwig Scharf,neu,Subcollector,,,,,,,,,,,Christian,Ludwig,,,, Scharf,
Amts-Steuer und Tranksteuer-Einame,Q506828,,Q507095,,Johann Christoph Leberecht Jenichen,neu,Tranksteuer Secretarius,,,Einnehmer,,,,,,,,Johann,Christoph,Leberecht,,,Jenichen,
Amts-Steuer und Tranksteuer-Einame,Q506828,,Q192971,Julius Gottfried Lebrecht Jenichen,Julius Gottfried Lebrecht Jenichen,unverändert,Substitut bey der Tranksteuer,,,Zoll-Einnehmer,Tor und Einlaß-Schreiber,,,,,,,,,,,,,
Amts-Steuer und Tranksteuer-Einame,Q506828,,Q507098,Johann Benjamin Schatz,Johann Benjamin Schatz,unverändert,Tranksteuer-Commissarius,,,,,,,,,,,,,,,,,
Zoll Einnahme,,,Q507095,,Johann Christoph Leberecht Jenichen,neu,Zolleinnehmer,,,,,,,,,,,Johann,Christoph,Leberecht,,,Jenichen,
Zoll Einnahme,,,Q192971,,Julius Gottfried Lebrecht Jenichen,neu,Substitu,,,,,,,,,,,Julius,Gottfried,Leberecht,,,Jenichen,
Zoll Einnahme,,,,,Johann Christoph Kreideweiß,neu,Bei- Geleits-Einnehme zu Güntersleben,,,,,,,,,,,Johann,Christoph,,,,Kreideweiß,
Zoll Einnahme,,,,,Johann Georg Rottstädt,neu,Bei- Geleits-Einnehme zu Pferdingsleben,,,,,,,,,,,Johann,Georg,,,,Rottstädt,
Zoll Einnahme,,,,,Sebastian Hildebrand,neu,Bei- Geleits-Einnehme zu Teutleben,,,,,,,,,,,Sebastian,,,,,Hildebrand,
Zoll Einnahme,,,Q157181,,Johann Friedrich Birckel,neu,Bei- Geleits-Einnehme zu Mechterstädt,,,,,,,,,,,Johann,Friedrich,,,,Birckel,
Ober Amt Cranichfeld,,,Q98431,,Ludwig Mädel,neu,Amtmann,,,,,,,,,,,Ludwig,,,,,Mädel,
Ober Amt Cranichfeld,,,Q154953,,Christian Friedrich Ludwig,neu,Amts-Commissarius,,,,,,,,,,,Christian,Friedrich ,,,,Ludwig,
Ober Amt Cranichfeld,,,Q191298,,Johann Christoph Braun,neu,Pflegeschreiber,,,,,,,,,,,Johann,Christoph,,,,Braun,
Ober Amt Cranichfeld,,,,,Philipp Heinrich Witzmann,neu,Amts-Bothe,,,,,,,,,,,Philipp,Heinrich,,,,Witzmann,
Ober Amt Cranichfeld,,,,,Georg Elias Hartung,neu,Amtsdiener,,,,,,,,,,,Georg,Elias,,,,Hartung,
Ober Amt Cranichfeld,,,,,David Christoph Heumann,neu,Amts-Physikus,,,,,,,,,,,David,Christoph,,,,Heumann,
Ober Amt Cranichfeld,,,,,Christian Joseph Blödner,neu,Amts-Chirurgus,,,,,,,,,,,Christian,Joseph,,,,Blödner,
Amts Voigtey,,,,,Johann Daniel Quellmatz,neu,Amts-Voigt,,,,,,,,,,,Johann,Daniel,,,,Quellmatz,
Amts Voigtey,,,,,Johann Paul Marter,neu,Burg-Voigt,,,,,,,,,,,Johann,Paul,,,,Marter,
Amtssteuer und Tranksteuer-Einnahme,,,Q98431,,Ludwig Mädel,neu,Amtmann,,,Amtssteuer Einnehmer,Tranksteuer Einnehmer,,,,,,,Ludwig,,,,,Mädel,
Amt Georgenthal,,,Q22951,,Carl August Geutebrück,neu,Rath,,,Amtmann,,,,,,,,Carl,August,,,,Geutebrück,
Amt Georgenthal,,,,,Johann Christian Wilhelm Schlichtegroll,neu,Amts-Comissarius,,,,,,,,,,,Johann,Christian,Wilhelm,,,Schlichtegroll,
Amt Georgenthal,,,,,Johann Heinrich Thein,neu,Amts-Schreiber,,,PflegSchreiber,,,,,,,,Johann,Heinrich,,,,Thein,
Amt Georgenthal,,,Q101879,,Carl Renatus Thienemann,neu,Amts-Accessist,,,,,,,,,,,Carl,Caspar,Renatus,,,Thienemann,
Amt Georgenthal,,,,,Caspar Ernst Kalb,neu,Amtswächter,,,,,,,,,,,Ernst,,,,,Kalb,
Amt Georgenthal,,,,,Johann Andreas Engelhardt,neu,Amts-Bothe,,,,,,,,,,,Johann,Andreas,,,,Engelhardt,
Amt Georgenthal,,,,,Christoph Knieling,neu,Amts-Diener,,,,,,,,,,,Christoph,,,,,Knieling,
Amt Georgenthal,,,,,Johann Friedrich Krüngelsten zu Ohrdruf,neu,Amts-Physicus,,,,,,,,,,,Johann,Friedrich,,,,Krüngelsten zu Ohrdruf,
Amt Georgenthal,,,,,Johann Michael Burckhardt,neu,Amts-Chirurgus,,,,,,,,,,,Johann,Michael,,,,Burckhardt,
Amts Voigtey,,,,,Friedrich Christian Jacob Krauße,neu,Amts-Voigt,,,Controleur bei den Schneide Mühlen zu Georgenthal und Dietharz,,,,,,,,Friedrich,Christian,Jacob,,,Krauße,
Amts Voigtey,,,,,Johann Nicolaus Hoyer,neu,Amts-Ficher,,,Wiesen-Voigt,,,,,,,,Johann,Nicolaus,,,,Hoyer,
Amts Voigtey,,,,,Johann Heinrich Marr,neu,Substitut,,,,,,,,,,,Johann,Heinrich ,,,,Marr,
Amtssteuer und Tranksteuer-Einnahme,,,Q22951,,Carl August Geutebrück,neu,Rath,,,Amtmann,Amtssteuer Einnehmer,Tranksteuer Einnehmer,,,,,,Carl,August,,,,Geutebrück,
Zoll und Geleits Einnahme,,,,,Johann Heimbürger ,neu,Geleitsverwalter,,,,,,,,,,,Johann,,,,,Heimbürger ,
Zoll und Geleits Einnahme,,,,,Friedrich Ludwig Großgebauer,neu,Bey-Geletseinnehmer zu Gräfenhayn,,,,,,,,,,,Friedrich,Ludwig,,,,Großgebauer,
Zoll und Geleits Einnahme,,,,,Johann Andreas Hopf,neu,Bey-Geletseinnehmer zu Herrnhof,,,,,,,,,,,Johann,Andreas,,,,Hopf,
Zoll und Geleits Einnahme,,,Q192783,,Johann Georg Ortleb,neu,Bey-Geletseinnehmer zu Hohenkirchen,,,,,,,,,,,Johann,Georg,,,,Ortleb,
Zoll und Geleits Einnahme,,,,,Johann Storch,neu,Bey-Geletseinnehmer zu Schönau,,,,,,,,,,,Johann,,,,,Storch,
Zoll und Geleits Einnahme,,,,,Johann Georg Marr,neu,Bey-Geletseinnehmer zu Catterfeld,,,,,,,,,,,Johann,Georg,,,,Marr,
Zoll und Geleits Einnahme,,,,,Johann Michael Horchner,neu,Bey-Geletseinnehmer zu Tambach,,,,,,,,,,,Johann,Michael,,,,Horchner,
Zoll und Geleits Einnahme,,,,,Johann Jeremias Schönau,neu,Bey-Geletseinnehmer zu Ernstroda,,,,,,,,,,,Johann,Jeremias,,,,Schönau,
Zoll und Geleits Einnahme,,,,,Johann Georg Rabe,neu,Bey-Geletseinnehmer zu Friedrichroda,,,,,,,,,,,Johann,Georg,,,,Rabe,
Zoll und Geleits Einnahme,,,,,Johann Heinrich Rußwurm,neu,Bey-Geletseinnehmer zu Groß-Tabarz,,,,,,,,,,,Johann,Heinrich,,,,Rußwurm,
Zoll und Geleits Einnahme,,,,,Johann Hornschuh,neu,Bey-Geletseinnehmer zu Tabarz,,,,,,,,,,,Johann,Wilhelm,,,,Hornschuh,
Zoll und Geleits Einnahme,,,,,Johann Wilhelm Schildach,neu,Forstbedienter,,,Geleitseinnehmer zu Winterstein,,,,,,,,Johann,,,,,Schildach,
Zoll und Geleits Einnahme,,,,,Johann Valentin Lefler,neu,Bey-Geletseinnehmer zu Crawinkel,,,,,,,,,,,Johann,Valentin,,,,Lefler,
Zoll und Geleits Einnahme,,,,,Nicolaus Böttner,neu,Bey-Geletseinnehmer zu Friedrichsfang,,,,,,,,,,,Nicolaus,,,,,Böttner,
Zoll und Geleits Einnahme,,,Q192327,,Johann Andreas Seyfarth,neu,Wegehalter zu Tambach,,,,,,,,,,,Johann,Andreas,,,,Seyfarth,
Zoll und Geleits Einnahme,,,,,Johann Caspar Wolf zu Flohe,neu,wegen der Aufsicht über die Straße im Neßelgrund,,,,,,,,,,,Johann,Caspar,,,,Wolf zu Flohe,
Schneide-Mühlen-Administtration,,,,,Johann David Albrecht,neu,Factor  bei der Schneidemühle inGeorgenthal  und Dietharz,,,,,,,,,,,Johann,David,,,,Albrecht,
Schneide-Mühlen-Administtration,,,,,Johann Friedrich Christoph Albrecht,neu,Substitut,,,,,,,,,,,Johann,Friedrich,Christoph,,,Albrecht,
Amt Ichtershausen und Wachsenburg,,,Q174719,,Carl Ludwig Alexander von Seebach,neu,Amts-Hauptmann,,,,,,,,,,,Carl,Ludwig,Alexander,,,von Seebach,
Amt Ichtershausen und Wachsenburg,,,Q78097,,Johann Adam Löw,neu,Amts-Hauptmann,,,,,,,,,,,Johann,Adam,,,,Löw,
Amt Ichtershausen und Wachsenburg,,,,,Christfried Graul,neu,Amts-Registrator,,,,,,,,,,,Christfried,,,,,Graul,
Amt Ichtershausen und Wachsenburg,,,Q191501,,Johann Gottfried Meißner,neu,Amts-Schreiber,,,Pflegschreiber,,,,,,,,Johann,Gottfried,,,,Meißner,
Amt Ichtershausen und Wachsenburg,,,,,Christian Ludwig Eltzig,neu,Amts-Accelist,,,,,,,,,,,Christian,Ludwig,,,,Eltzig,
Amt Ichtershausen und Wachsenburg,,,,,Johann Christoph Wagner,neu,Amts-Bothe,,,,,,,,,,,Johann,Christoph,,,,Wagner,
Amt Ichtershausen und Wachsenburg,,,,,Johann Andreas Scharlach,neu,Amts-Diener,,,,,,,,,,,Johann,Andreas,,,,Scharlach,
Amt Ichtershausen und Wachsenburg,,,,,Johann Gottfried Beumelburg,neu,Land -Physikus,,,,,,,,,,,Johann,Gottfried,,,,Beumelburg,
Amt Ichtershausen und Wachsenburg,,,,,Paul Heinrich Weber,neu,Amts-Chirurgus,,,,,,,,,,,Paul,Heinrich,,,,Weber,
Amts Voigtey,,,,,Wilhelm Friedrich Knauer,neu,Amts-Rent-Verwalter,,,,,,,,,,,Wilhelm,Friedrich,,,,Knauer,
Amts Voigtey,,,,,Georg Adolph Fischer,neu,Controleur zu Mohlsdorf,,,,,,,,,,,Georg,Adolph,,,,Fischer,
Amts Steuer-und Tranksteuer Einnehmer,,,Q174719,,Carl Ludwig Alexander von Seebach,unverändert,Amts-Hauptmann,,,Amts-Steuereinnehmer,,,,,,,,Carl,Ludwig,Alexander,,,von Seebach,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Bernhard Christoph Mengs,neu,Zolleinnehmer zu Ichtershausen,,,,,,,,,,,Bernhard,Christoph,,,,Mengs,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Johann Andreas Nicolai,neu,Zolleinnehmer zu Eischleben,,,,,,,,,,,Johann,Andreas,,,,Nicolai,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Johann Lorenz Schäfer,neu,Zolleinnehmer zu Dietendorf,,,,,,,,,,,Johann,Lorenz,,,,Schäfer,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Christoph Andreas Walter,neu,Zolleinnehmer zu Ingersleben,,,,,,,,,,,Christoph,Andreas,,,,Walter,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Christoph Fleischhack,neu,Zolleinnehmer zu Molsdorf,,,,,,,,,,,Christoph,,,,,Fleischhack,
Amt Schwarzwald,,,Q161314,,Johann Gebhard Manso,neu,Amtmann,,,,,,,,,,,Johann,Gebhard,,,,Manso,
Amt Schwarzwald,,,,,Johann Christian Orphal,neu,Amts-Commissarius,,,,,,,,,,,Johann,Christian,,,, Orphal,
Amt Schwarzwald,,,,,Johann August Heinrich Armstorf,neu,Amtsschreiber,,,Pflegschreiber,,,,,,,,Johann,August,Heinrich,,,Armstorf,
Amt Schwarzwald,,,,,Johann Nicolaus Helfricht,neu,Amts-Bothe,,,,,,,,,,,Johann,Nicolaus,,,,Helfricht,
