unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
,Q506892,,,,,weg,,,,,,,,,,,,,,
,Q506892,,Q101891,,,weg,Geheimer Bothenmeister,,,,,,,,,,,,,
,Q506892,,Q507009,,,weg,Geheimer Post Secretarius,,,,,,,,,,,,,
,Q506893,,,,,weg,,,,,,,,,,,,,,
,Q506893,,Q507010,,,weg,,,,,,,,,,,,,,
,Q506894,,Q513358,,,weg,,,,,,,,,,,,,,
,Q506894,,Q192749,,,weg,Geheimer Secretarius,,,,,,,,,,,,,
,Q506894,,Q14201,,,weg,erster Geheimer Archivarius,,,,,,,,,,,,,
,Q506894,,Q10781,,,weg,Legitions zweiter Geheimer Archivarius,,,,,,,,,,,,,
,Q506894,,Q507011,,,weg,Geheimer Kanzlei Secretarius,,,,,,,,,,,,,
,Q506894,,Q99153,,,weg,Archiv Archivarius,,,,,,,,,,,,,
,Q506894,,,,,weg,,,,,,,,,,,,,,
,Q506759,,Q507012,,,weg,Archiv Kanzlist,,,,,,,,,,,,,
,Q506759,,Q34640,,,weg,Wirklicher Geheimer Rat,,,,,,Seine Excellenz,,,,,,,
,Q506759,,Q264335,,,weg,Geheimer Regirungsrat,,,,,,,,,,,,,
,Q506759,,Q507013,,,weg,Hof Rath,,,,,,,,,,,,,
,Q506759,,Q507014,,,weg,Hof Rath,,,,,,,,,,,,,
,Q506759,,Q192534,,,weg,Hof Rath,,,,,,Leutnand,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q507015,Philip von Gremmingen zu Guttenberg,Philip von Gremmingen zu Guttenberg,andere Quali,geheimer Legationsrath,Hof Rath,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q219440,August Friedrich Carl von Ziegesar,August Friedrich Carl von Ziegesar,andere Quali,Cammerherr,Hof Rath,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q468898,Christian Ludwig Heinrich Jäger,Christian Ludwig Heinrich Jäger,andere Quali,Hof Rath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Wolf Johann Ludwig Friedemann Graf von Auersberg,,weg,Legations-Rath,Cammerjunker,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q513242,,,weg,Legations-Rath,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Heinrich Ulrich von Bülow,Heinrich Ulrich von Bülow,andere Quali,Regierungsrat,Cammerjunker,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Carl Ludwig Alexander von Seebach,Carl Ludwig Alexander von Seebach,andere Quali,Regierungsassessor,Hof-Junker,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Friedrich Emilius von Uechtritz,Friedrich Emilius von Uechtritz,andere Quali,Cammer-Junker,Regierungsassessor,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q97795,Christian Friedrich Brückner,Christian Friedrich Brückner,unverändert,Rath ,Regierungs Secretarius,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,erster Lehns Secretarius,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507016,August Gottfried Hessen,August Gottfried Hessen,andere Quali,Rath,Gerichts Secretarius,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q513258,Friedrich Ernst Mehringk,Friedrich Ernst Mehringk,andere Quali,zweiter Lehns Secretarius,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,,Friedrich Daniel Schlichtegroll,neu,,,,,,,,,Daniel,,,,,Schlichtegroll
