unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1778,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Amts Voigtey,,,,,Johann Nicolaus Hoyer,unverändert,Amts-Ficher,Wiesen-Voigt,,,,,,,,,,,,,,,
Amts Voigtey,,,,,Johann Heinrich Marx,anderer FN,Substitut,,,,,,,,,,,,,,,,
Amtssteuer und Tranksteuer-Einnahme,,,Q22951,,Carl August Geutebrück,unverändert,Rath,Amtmann,Amtssteuer Einnehmer,Tranksteuer Einnehmer,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Heimbürger ,unverändert,Geleitsverwalter,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Friedrich Ludwig Großgebauer,unverändert,Bey-Geletseinnehmer zu Gräfenhayn,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Andreas Hopf,unverändert,Bey-Geletseinnehmer zu Herrnhof,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Georg Körber,neu,Bey-Geletseinnehmer zu Tambach,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Georg Marx,anderer FN,Bey-Geletseinnehmer zu Catterfeld,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Michael Horchner,unverändert,Bey-Geletseinnehmer zu Tambach,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Jeremias Schönau,unverändert,Bey-Geletseinnehmer zu Ernstroda,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Georg Rabe,unverändert,Bey-Geletseinnehmer zu Friedrichroda,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Heinrich Rußwurm,unverändert,Bey-Geletseinnehmer zu Groß-Tabarz,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Hornschuh,unverändert,Bey-Geletseinnehmer zu Tabarz,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Wilhelm Schildach,unverändert,Forstbedienter,Geleitseinnehmer zu Winterstein,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Valentin Lefler,unverändert,Bey-Geletseinnehmer zu Crawinkel,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Christian Seeber,neu,Bey-Geletseinnehmer zu Friedrichsfang,,,,,,,,,,,Johann,Christian,,,,Seeber
Zoll und Geleits Einnahme,,,Q192327,,Johann Andreas Seyfarth,unverändert,Wegehalter zu Tambach,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Caspar Wolf zu Flohe,unverändert,wegen der Aufsicht über die Straße im Neßelgrund,,,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann David Albrecht,unverändert,Factor  bei der Schneidemühle inGeorgenthal  und Dietharz,,,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann Friedrich Christoph Albrecht,unverändert,Substitut,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,Q174719,,Carl Ludwig Alexander von Seebach,unverändert,Amts-Hauptmann,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,Q78097,,Johann Adam Löw,unverändert,Amts-Hauptmann,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Christfried Graul,unverändert,Amts-Registrator,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,Q191501,,Johann Gottfried Meißner,unverändert,Amts-Schreiber,Pflegschreiber,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Christian Ludwig Eltzig,unverändert,Amts-Accelist,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Johann Christoph Wagner,unverändert,Amts-Bothe,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Johann Andreas Scharlach,unverändert,Amts-Diener,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Johann Gottfried Beumelburg,unverändert,Land -Physikus,,,,,,,,,,,,,,,,
Amt Ichtershausen und Wachsenburg,,,,,Paul Heinrich Weber,unverändert,Amts-Chirurgus,,,,,,,,,,,,,,,,
Amts Voigtey,,,,,Wilhelm Friedrich Knauer,unverändert,Amts-Rent-Verwalter,,,,,,,,,,,,,,,,
Amts Voigtey,,,,,Georg Adolph Fischer,unverändert,Controleur zu Mohlsdorf,,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,Q174719,,Carl Ludwig Alexander von Seebach,unverändert,Amts-Hauptmann,Amts-Steuereinnehmer,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Bernhard Christoph Mengs,unverändert,Zolleinnehmer zu Ichtershausen,,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Johann Andreas Nicolai,unverändert,Zolleinnehmer zu Eischleben,,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Johann Lorenz Schäfer,unverändert,Zolleinnehmer zu Dietendorf,,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Christoph Andreas Walter,unverändert,Zolleinnehmer zu Ingersleben,,,,,,,,,,,,,,,,
Amts Steuer-und Tranksteuer Einnehmer,,,,,Christoph Fleischhack,unverändert,Zolleinnehmer zu Molsdorf,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,Q161314,,Johann Gebhard Manso,unverändert,Amtmann,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,,,Johann Christian Orphal,unverändert,Amts-Commissarius,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,,,Johann August Heinrich Armstorf,unverändert,Amtsschreiber,Pflegschreiber,,,,,,,,,,,,,,,
Amt Schwarzwald,,,,,Johann Nicolaus Helfricht,unverändert,Amts-Bothe,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,,,Johann Christian Grafe,unverändert,Amts-Diener,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,Q159405,,Christian Rudolph Pfaff ,unverändert,Amts-Physicus,,,,,,,,,,,,,,,,
Amt Schwarzwald,,,,,Johann Christian Riese zu Mehlis,unverändert,Amts-Chirurgus,,,,,,,,,,,,,,,,
Amts Voigten,,,Q154924,,Christian Eberhard Hocker,unverändert,Amts-Voigt,,,,,,,,,,,,,,,,
Amtssteuer und Tranksteuer-Einnahme,,,Q161314,,Johann Gebhard Manso,unverändert,Amtmann,Amts-Einnehmer,Tranksteuer-Einnehmer,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann Georg Zapf,unverändert,Pachter des Herschaftlichen Geleits zu Oberhof,,,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann David Albrecht,andere Quali,Schneide-Mühlen Factor Substitut zu Schwarzwald,,,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann Friedrich Ludwig Waitz,unverändert,Oberförster,Controleur bei der Schneide-Mühle zu Schwarzwald,,,,,,,,,,,,,,,
Schneide-Mühlen-Administtration,,,,,Johann Heinrich Gundermann,unverändert,Forstbedienter,Rechnungsführer der beiden Schneide-Mühlen oberhalb Dörberg und Arlesberg,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Hanß Adam von Studenitz,unverändert,Oberhof-Marschall,Wirklicher geheimer Rath,Amtshauptmann,,,,,,,seine Excellenz,,,,,,,
,,,,,Johann Christian Andreas Orphal,neu,Amtmann,,,,,,,,,,,,,,,,
,,,,,Johann Christian Heinrich Stötzel,neu,Amts-Commissariuszu Tenneberg,,,,,,,,,,,,,,,,
,,,,,Christoph Carl Bause,neu,Amts-Commissariuszu Reinhardsbrunn,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,Q98569,,Wilhelm Gottlieb Jacobs,unverändert,Rath ,Amtmann,,,,,,,,Dr.,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Franz Hartmann,unverändert,Amts-Registrator,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,Q193008,,Johann Martin Erdmann,andere Quali,Pflegeschreiber zu Reinhardsbrunn,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Deubner,unverändert,Pflegeschreiber zu Tenneberg,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann David Freytag,unverändert,Amts-Bothe,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,Q262740,,Johann Christoph Seeber,unverändert,Amts-Bothe,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Elias Andreas Wohllebeb,unverändert,Amts-Diener,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Schlothauer,unverändert,Amts-Diener,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Sebastian Brückner,unverändert,zu Waltershausen,Amts-Physicus,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Heinrich Hofmann,unverändert,zu Friedrichroda,Amts-Physicus,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Ehrenfried Geißler,unverändert,zu Waltershausen,Amts-Chirurg,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Georg Curts,unverändert,Amts-Chirurg,,,,,,,,,,,,,,,,
Amt Tenneberg und Reinhardsbunn,,,,,Johann Friedrich Gotter,unverändert,Manufactur-Commissarius,in der Rühla,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,Q260875,,Johann Andreas Ritter,unverändert,Amts Voigt,,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,,,Johann Herrmann Schoner,unverändert,Amts Fischer,,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,Q507064,,Johann Ludwig Jacob Witzmann,unverändert,Registrator,Amts Voigt,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,,,Johann Valentin Herbst,unverändert,Amts Fischer,,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,,,David Seyfarth,unverändert,zur Beihilfe,,,,,,,,,,,,,,,,
Amts Voigten zu Tenneberg,,,,,Hanß Eccarius,unverändert,Wiesen-Voigt,,,,,,,,,,,,,,,,
,,,,,Johann Christian Andreas Orphal,neu,Amtmann,Amts-Einnehmer,Tranksteuer-Einnehmer,,,,,,,,,,,,,,
Reinhardsbrunner Schneide-Mühlen Adminstestrator,,,,,Friedrich Christoph Albrecht,andere Quali,Substitut,Factor bei der Schneidemühle im Finsterberger Grund,,,,,,,,,,,,,,,
Reinhardsbrunner Schneide-Mühlen Adminstestrator,,,Q507562,,Friedrich Christian Trautmann,unverändert,Forstbedienter,Controleur,,,,,,,,,,,,,,,
Reinhardsbrunner Collectur- Hof zu Langensalza,,,,,Rudolph August Christian Heydenreich,unverändert,Collect-Verwalter,,,,,,,,,,,,,,,,
Bürgermeister und Rath der Stadt Waltershausen,,,Q507040,,Friedrich Christoph Gotthard John,unverändert,ordin. Hof Advocat,,,,,,,,,,,,,,,,
Bürgermeister und Rath der Stadt Waltershausen,,,Q513321,,Wilhelm Franz Heß,unverändert,ordin. Hof Advocat,,,,,,,,,,,,,,,,
Bürgermeister und Rath der Stadt Waltershausen,,,,,Johann Daniel Ziegler,unverändert,,,,,,,,,,,,,,,,,
Bürgermeister und Rath der Stadt Waltershausen,,,,,Johann David Hellmund,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,,,Johann Gottfried Kästner,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,,,Bernhard Gebhard,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,Q192200,,Johann Christoph Backhaus,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,,,Heinrich Christoph Breithaupt,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,,,Johann Heinrich Salender,unverändert,,,,,,,,,,,,,,,,,
Raths-Herren,,,,,Johann Sebastian Rußwurm,unverändert,,,,,,,,,,,,,,,,,
Stadtschreiberey,,,,,Se. Heinrich Junker,unverändert,Amtsadvocat,Stadtschreiber,,,,,,,,,,,,,,,
Stadtschreiberey,,,,,Se. Heinrich Illhardt,unverändert,Raths-Actuarius,Kassierer,,,,,,,,,,,,,,,
Rats Cämmererey,,,,,Bernhard Gebhard,unverändert,Cämmerer,,,,,,,,,,,,,,,,
Rats Cämmererey,,,,,Heinrich Gottfried Kästner,unverändert,Cämmerer,,,,,,,,,,,,,,,,
Gemeinde Vormünder,,,,,Johann David Gebhard,unverändert,,,,,,,,,,,,,,,,,
Gemeinde Vormünder,,,,,Christoph Gotthard Graf,unverändert,,,,,,,,,,,,,,,,,
Gemeinde Vormünder,,,,,Georg Wilhelm Schmidt,unverändert,Rathsdiener,,,,,,,,,,,,,,,,
Gemeinde Vormünder,,,,,Johann David Schmidt,unverändert,Rathsdiener,,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Johann Adolph Schultheß,unverändert,Amtmann,,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Heinrich Ernst Freygang,unverändert,Amts-Actuarius,,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Friedrich Wilhelm Fritz,unverändert,Amts-Copist,Pflegschreiber,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Johann Martin Dietz,unverändert,Amtsbothe,,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Johann Gottlieb Lingel,unverändert,Amtsdiener,,,,,,,,,,,,,,,,
Gemeinschaftliches Amt Themar,,,,,D. Friedrich Wilhelm Ziehn,unverändert,Stadt-Physicus,Amts-Physicus,,,,,,,,Dr.,,,,,,,
Gemeinschaftliches Amt Themar,,,,,Johann Baader,unverändert,Stadt-Chirurgus,Land-Chirurgus,,,,,,,,,,,,,,,
Amts Advocaten,,,,,August Matthes Trier,unverändert,,,,,,,,,,,,,,,,,
Amts Advocaten,,,,,Christian Sternberger,unverändert,,,,,,,,,,,,,,,,,
Amts Advocaten,,,,,Johann Georg Kuhl,neu,,,,,,,,,,,,Johann,Georg,,,,Kuhl
Amts-Vogtey,,,,,Johann Christoph Daniel Sternberger,unverändert,Amts-Steuer-Commissarius,,,,,,,,,,,,,,,,
Amts-Steuer und Tranksteuer-Einame,,,,,J. C. D. Sternberger,unverändert,,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,N.N. Sternberger,unverändert,Amts-Commissar,Zoll-Einnehmer,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Friedrich Wiener,unverändert,Zoll-Einnehmer zu Erdorf,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Sittig Krieg,unverändert,Zoll-Einnehmer zu Reurieth,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Friedrich Schade,unverändert,Zoll-Einnehmer zu Siegritz,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Caspar Gerbich,unverändert,Zoll-Einnehmer zu Trohstadt,,,,,,,,,,,,,,,,
Zoll und Geleits Einnahme,,,,,Johann Michael Zitzmann,unverändert,Zoll-Läufer,Visitator,,,,,,,,,,,,,,,
Amt Tonna,,,,,Ernst Ludwig von Schlotheim,unverändert,Amts-Hauptmann,,,,,,,,,,,,,,,,
Amt Tonna,,,,,Heinrich Erhard von Eychelberg,neu,Auditor,,,,,,,,,,,Heinrich,Erhard,,,,von Eychelberg
Amt Tonna,,,Q98158,,Johann Christoph Kayser,unverändert,Amts-Commissar,,,,,,,,,,,,,,,,
Amt Tonna,,,,,Heinrich Wilhelm Jacobs,unverändert,Amts-Actuarius,,,,,,,,,,,,,,,,
Amt Tonna,,,,,Johann Caspar Füldner,unverändert,Amtsschreiber,,,,,,,,,,,,,,,,
Amt Tonna,,,,,Johann Christoph Schrumpf,unverändert,Amtsbothe,,,,,,,,,,,,,,,,
Amt Tonna,,,,,Johann Michael Holbach,unverändert,Amtsdiener,,,,,,,,,,,,,,,,
Amt Tonna,,,Q101873,,D. Friedrich Heinrich Jacobs,unverändert,Amts-Physicus,,,,,,,,,Dr.,,,,,,,
Amt Tonna,,,,,Johann Christian Lattermann,unverändert,Amts-Chirurgus,,,,,,,,,,,,,,,,
Amts-Voigtey,,,,,Johann Christoph Zinkeisen,unverändert,Amts-Voigt,,,,,,,,,,,,,,,,
Amts und Tranksteuer Einnahme,,,,,Ernst Ludwig von Schlotheim,neu,Amts-Hauptmann,Amts-Steuer-Einnehmer,,,,,,,,,,Ernst,Ludwig ,,,,von Schlotheim
Zoll-Einnehmer,,,,,Friedrich Heinrich Heß,neu,Zoll-Einnehmer zu Tonna,,,,,,,,,,,Friedrich,Heinrich,,,,Heß
Zoll-Einnehmer,,,,,Georg Gottfried Bellermann,unverändert,Zoll-Einnehmer zu Tötelsteädt,,,,,,,,,,,,,,,,
Amt Volckenroda,,,,,Friedrich Christian Wilhelm Wachler,unverändert,Amtmann,,,,,,,,,,,,,,,,
Amt Volckenroda,,,Q160551,,Friedrich Wilhelm Christoph Bonde,unverändert,Amts-Commissar,Pflegschreiber,,,,,,,,,,,,,,,
Amt Volckenroda,,,,,Hans Georg Wolf,unverändert,Amtsbothe,,,,,,,,,,,,,,,,
Amt Volckenroda,,,,,Georg Ernst Wolf,unverändert,Substitus,,,,,,,,,,,,,,,,
Amt Volckenroda,,,,,Johann Martin Franz,unverändert,Amtsdiener,,,,,,,,,,,,,,,,
Amt Volckenroda,,,Q101873,,"D, Friedrich Heinrich Jacobs",unverändert,zu Tonna,Amts-Physicus,,,,,,,,Dr.,,,,,,,
Amt Volckenroda,,,,,Johann Gottfried Franke,unverändert,Amts-Chirurgus,,,,,,,,,,,,,,,,
Amts Vogtey,,,Q192819,,Christian Heinrich Straube,unverändert,Amtsvoigt,,,,,,,,,,,,,,,,
Zoll Einnahme,,,,,Johann Carl Krug,andere Quali,Amtsschreiber,,,,,,,,,,,,,,,,
Amts-Steuer und Tranksteuer-Einame,,,,,Friedrich Wilhelm Christian Wachler,unverändert,Amtmann,Amts-Steuer-Einnehmer,,,,,,,,,,,,,,,
Zoll Einnahme,,,,,Cristian Heinrich Christoph Straube,neu,Amtsvoigt,Zolleinnehmer zu Volkenroda,,,,,,,,,,Cristian,Heinrich,Christoph,,,Straube
Zoll Einnahme,,,,,Johann Cyriar Arnold,neu,Zolleinnehmer zu Körner,,,,,,,,,,,Johann,Cyriar,,,,Arnold
Zoll Einnahme,,,,,Johann Sebastian Linse,unverändert,Zolleinnehmer zu Menteroda,,,,,,,,,,,,,,,,
Zoll Einnahme,,,,,Johann Gabriel Döll,unverändert,Zolleinnehmer zu Ober-Mehlern,,,,,,,,,,,,,,,,
Zoll Einnahme,,,,,Johann Christoph Koch,unverändert,Zolleinnehmer zu Peissel,,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41765,,Friedrich Wilhelm Straßburger,unverändert,Kirchenrath,Pfarrer,Adjunctus,Goldbach,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Heinrich Daniel,neu,Cantor,Goldbach,,,,,,,,,,Johann,Heinrich,,,,Daniel
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Georg Friedrich Reiß,unverändert,Organist,Goldbach,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41798,,Georg Christoph Rose,unverändert,Pfarrer,Ballstädt,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Martin Agte,unverändert,Cantor,Ballstädt,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christoph Hild,unverändert,Organist,Ballstädt,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41826,,Georg Heinrich Pfitzner,unverändert,Pfarrer,Brüheim,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Andreas Ludwig,unverändert,Schuldiener,Brüheim,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q38632,,Ernst Christian Rudolph Buddeus,unverändert,Pfarrer,Buffleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christan Haun,unverändert,Schuldiener,Buffleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41697,,M. Friedrich Albrecht Augusti,unverändert,Pfarrer,Eschenberga,,,,,,,,Magister,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Ernst Friedrich Anton Augusti,unverändert,Substitut,Eschenberga,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Hironnymus Adolff,unverändert,Schuldiener,Eschenberga,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42436,,Johann Gottfried Brückmann,unverändert,Pfarrer,Hausen,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christian Stedefeld,unverändert,Schuldiener,Hausen,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q41948),,Heinrich Gottfried Berlet,unverändert,Pfarrer,Remstädt,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Christoph Gellert,unverändert,Schuldiener,Remstädt,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q192825,,Hiob Benedict Eckardt,unverändert,Pfarrer,Siebleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Emanuel Gräf,unverändert,Schuldiener,Siebleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42249,,Johann Christian Weißenborn,unverändert,Pfarrer,Sonneborn,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q192689,,Johann Adolph Scheiding,unverändert,Rector,Sonneborn,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Abel Thämer,unverändert,Cantor,Sonneborn,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Michael Starkloff,unverändert,Organist,Sonneborn,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Jacob Köhler,unverändert,Schuldiener zu Eberstädt,,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,Q42573,,Johann Martin Kästner,unverändert,Pfarrer,Tüttleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Heinhich Träscher,unverändert,Schuldiener,Tüttleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Jeremias Andreas Buflöb,unverändert,Pfarrer,Wiegleben,,,,,,,,,,,,,,,
"Land-Geistlichkeit im Herzogtum Gotha, Adjunctur Goldbach",,,,,Johann Heinrich Christoph Geisel,unverändert,Schuldiener,Wiegleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42628,,Johann Paul Heinrich,unverändert,Pfarrer,Molschleben,Adjunc,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q193000,,Johann Christian Kautz,unverändert,Cantor,Molschleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Heinrich Ernst Roth,unverändert,Organist,Molschleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42577,,Mathäus Mehlis,unverändert,Pfarrer,Friemar,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Juohann Georg Hentze,unverändert,Cantor,Friemar,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Andreas Ritter,unverändert,Organist,Friemar,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42929,,Ludwig Friedrich Sauerbrey,unverändert,Pfarrer,Gamstädt,Erfurtis Filial Klein Rettbach,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Mathäus Bing,unverändert,Schuldiener,Gamstädt,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42504,,Johann Heinrich Wilhelm Werner,unverändert,Pfarrer,Gierstedt,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Valentin Liem,unverändert,Schuldiener,Gierstedt,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42299,,Johann Daniel Mittelhäüser,unverändert,Pfarrer,Großfahner,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q257291,,Johann Friedrich Arnold,unverändert,Cantor,Großfahner,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Lorentz Trescher,unverändert,Organist,Großfahner,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42441,,Johann Gottfried Müller,unverändert,Pfarrer,Großrettbach,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Heinrich Jastin Engelhardt,unverändert,Schuldiener,Großrettbach,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42981,,Michael Ernst Baumann,unverändert,Pfarrer,Herbsleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Emanuel Pfaff,unverändert,Diacon,Herbsleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q156065,,Friedrich Gottlieb Starkloff,unverändert,Rector,Herbsleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Cornelius Eisenträger,unverändert,Cantor,Herbsleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q192976,,Johann Bindernagel,unverändert,Organist,Herbsleben,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42709,,Johann Volkmar Sickler,unverändert,Pfarrer,Kleinfahner,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Gottfried Helbing,unverändert,Schuldiener,Kleinfahner,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q42094,,Johann Adolph Freytag,unverändert,Pfarrer,Warza,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Johann Tobias Hildebrand,unverändert,Cantor,Warza,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q77698,,August Christian Fritsch,unverändert,Pfarrer,Dachwich,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,,,Gottfried Heinrich Thielemann,unverändert,Pfarrer,Frienstädt,,,,,,,,,,,,,,,
Adjunctur Molschleben,,,Q161392,,Johann Christian Müntzer,unverändert,Pfarrer,Nottleben,,,,,,,,,,,,,,,
