unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1778,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q219440,August Friedrich Carl von Ziegesar,August Friedrich Carl von Ziegesar,unverändert,Cammerherr,Hof Rath,,,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q468898,Christian Ludwig Heinrich Jäger,Christian Ludwig Heinrich Jäger,unverändert,Hof Rath,,,,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q28056,Friedrich Emilius von Uechtritz,Friedrich Emilius von Uechtritz,unverändert,Hofrath,Cammerjunker,,,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,,Carl Adolph Walcher,Carl Adolph Walcher,unverändert,Hofrath,,,,,,,,,,,,,,,,
Herzogliche Landes-Regierung zu Gotha,Q506759,,Q193264,Heinrich von Bunau,Heinrich von Bunau,unverändert,Regierungs-Assessor,Hofjunker,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q97795,Christian Friedrich Brückner,Christian Friedrich Brückner,unverändert,Rath ,Regierungs Secretarius,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,erster Lehns Secretarius,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q513258,Friedrich Ernst Mehringk,Friedrich Ernst Mehringk,unverändert,zweiter Lehns Secretarius,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507016,August Gottfried Hessen,August Gottfried Hessen,unverändert,Rath,Gerichts Secretarius,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192750,Friedrich Daniel Schlichtegroll,Friedrich Daniel Schlichtegroll,unverändert,Regierungs-Secretarius,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q262833,Albrecht Carl Brückner,Albrecht Carl Brückner,unverändert,Sekretarius,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q193191,Friedrich Benjamin Krügelstein,Friedrich Benjamin Krügelstein,andere Qualli,Rgierungs- Secret,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192809,Johann Michael Witzmann,Johann Michael Witzmann,unverändert,Bothenmeister,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,,Christian Martin Adolph Tamm,neu,Registrator,,,,,,,,,,,Christian,Martin,Adolph,,,Tamm
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507018,Johann Wilhelm Friedrich Steger,Johann Wilhelm Friedrich Steger,andere Qualli,Registrator,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,,Andreas Christoph Welker,andere Qualli,Regierungs-Registrator,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507024,Christian Ludwig Stark,Christian Ludwig Stark,unverändert,Kanzlist,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507019,Gustav Johann Gottfried Tamm,Gustav Johann Gottfried Tamm,andere Qualli,Commissins-Registrator,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507020,Johann Christoph Kerst,Johann Christoph Kerst,unverändert,Kanzlist,,,,,,,,,,,,,,,,
Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,,Christian Friedrich Schifner,unverändert,Kanzlist,,,,,,,,,,,,,,,,
,,,,,Johann Georg Schneegaß,neu,Kanzlist,,,,,,,,,,,Johann,Georg,,,,Schneegaß
Ober-Vormundschafts-Expedition,Q506761,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,Lehns Secretarius,Ober Vormundschaftzs Secretarius,,,,,,,,,,,,,,,
Ober-Vormundschafts-Expedition,Q506761,,,,Friedrich Benjamin Krügelstein,neu,Regierungs Secretarius,Ober Vormundschaftzs Secretarius,,,,,,,,,,Friedrich,Benjamin,,,,Krügelstein
Ober-Vormundschafts-Expedition,Q506761,,Q507021,Christian Martin Adolph Tamm,Christian Martin Adolph Tamm,unverändert,Registrator,,,,,,,,,,,,,,,,
,,,,,Andreas Christoph Welker,neu,Regierungs Registrator,,,,,,,,,,,Andreas,Christoph,,,,Welker
Fiscal,Q506895,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,andere Qualli,Regierungs Fiscal,Rat,,,,,,,,,,,,,,,
,,,,,Christian Wilhelm Ludwig Gundermann,neu,Cammer-Secretaar,Cammer-Procurator,Regierungs Fiscal,,,,,,,,,Christian,Wilhelm,Ludwig,,,Gundermann
Ober-Policen Commissarius,Q506797,,Q507022,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,Ober-Policen Commissarius,,,,,,,,,,,,,,,,
Ober-Policen Commissarius,Q506797,,Q157178,Johann Friedrich Benedict Albrecht,Johann Friedrich Benedict Albrecht,unverändert,Land-Policey-Inspector,,,,,,,,,,,,,,,,
Ober-Policen Commissarius,Q506797,,,Johann Paul Völker,Johann Paul Völker,unverändert,Land-Policey-Inspector,,,,,,,,,,,,,,,,
Ober-Policen Commissarius,Q506797,,Q192273,Johann Friedrich Möller,Johann Friedrich Möller,unverändert,Policey-Commissarius,,,,,,,,,,,,,,,,
Versetzstube,Q506799,,Q507024,Cristian Ludwig Stark,Cristian Ludwig Stark,unverändert,Kanzlist,Nachschreiber,,,,,,,,,,,,,,,
Versetzstube,Q506799,,,,Cristian Friedrich Schifner,neu,Kanzlist,Nachschreiber,,,,,,,,,,Cristian,Friedrich,,,,Schifner
Ordinarii,Q506803,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,unverändert,Rath,Cammer Cottsulent,Regierungs Fiscal,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q157196,Johann Friedrich Freytag,Johann Friedrich Freytag,unverändert,Rath,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q513321,Wilhelm Franz Heß,Wilhelm Franz Heß,unverändert,,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q507040,Friedrich Christoph Gotthard John,Friedrich Christoph Gotthard John,unverändert,,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q507041,Ludwig Ernst Wilhelm Hessen,Ludwig Ernst Wilhelm Hessen,unverändert,Rath,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q507011,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geheimer Canzley-Secretarius,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q507045,Johann Georg Burkardt,Johann Georg Burkardt,unverändert,,,,,,,,,,,,,,,,,
Ordinarii,Q506803,,Q22952,,Wilhelm Heinrich Jacobs,neu,Proconsul,,,,,,,,,,,Wilhelm,Heinrich,,,,Jacobs
Extraordinarit,Q510693,,Q513284,Johann Friedrich Glaser,Johann Friedrich Glaser,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507042,Johann Christian List,Johann Christian List,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507044,Johann Christian Hager,Johann Christian Hager,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q157391,Johann Heinrich Reinhardt,Johann Heinrich Reinhardt,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q192895,Johann Andreas Gerlach,Johann Andreas Gerlach,unverändert,Bürgermeister,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507046,Georg Christian Eisentraut,Georg Christian Eisentraut,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Jacob Friedrich Wilhelm Sorge,Jacob Friedrich Wilhelm Sorge,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,Cammer-Secretarius,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,,Johann Gottlieb Wagner,andere Qualli,Ober-Steuer-Secretar,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q99128,Johann Christian Bertuch,Johann Christian Bertuch,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Johann Georg Junker,Johann Georg Junker,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Christoph Gotthard Weißenborn,Christoph Gotthard Weißenborn,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q99153,Pfilipp Friedrich Welker,Pfilipp Friedrich Welker,andere Qualli,Geheimer Archivarius,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,,Julius Gottfried Lebrecht Jenichen,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q154940,Christian Friedrich August Brückner,Christian Friedrich August Brückner,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q36426,Heinrich Christoph Rudolph Purgold,Heinrich Christoph Rudolph Purgold,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q41404,Carl Friedrich Eisentraut,Carl Friedrich Eisentraut,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q42693,,Johann Tobias Hey,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q192905,Q192905,Johann Christoph Fladung,unverändert,,,,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,,Johann Carl Friedrich Jenichen,neu,Legat. Secretar,,,,,,,,,,,Johann,Carl,Friedrich,,,Jenichen
Amts- und Gerichts-Advocaten,,,,,Johann Daniel Kämpff,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q192912,,Johann Gottfried Gieblehr,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Gottlieb Heinrich Friedrich Thilemann,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q507022,,Johann Friedrich Hartmann,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q97521,,Friedrich Daniel Alexander Weidner,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Carl Wilhelm Madelung,unverändert,Land-Ingenieur,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q98824,,Heinrich David Ziegler,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Schack Herrmann Eowald,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q77924,,Georg Heinrich Junker,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q77730,,Carl Christian Elias Kuntz,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Ernst Friedrich Schneider,unverändert,Geheimer Archiv-Registrator,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Johann Friedrich Schönkopff,unverändert,Ober-Stadtschreiber,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q192959,,Johann Christoph Wüstemann,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q154998,,Christian Ludwig Wagner,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Ludwig Wilhelm Zinkeisen,unverändert,Kriegs-Registrator,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,,,Johann Heinrich Christoph Seeber,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q193016,,Johann Christian Bube,unverändert,Audidteur,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q192999,,Carl Christian Friedrich Langheld,unverändert,,,,,,,,,,,,,,,,,
Amts- und Gerichts-Advocaten,,,Q193008,,Johann Martin Erdmann,unverändert,,,,,,,,,,,,,,,,,
