unmittelbare Anstellung,Q506999,,Q-1770 Person,1775,1776,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q452246,Friedrich Carl von Lichtenstein,Friedrich Carl von Lichtenstein,unnverändert,Wirlicher Geheimer Rat,Oberaufseher zu Eisenberg,,,,Eisenberg,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q28057,Sylvius Friedrich Ludwig von Frankenberg,Sylvius Friedrich Ludwig von Frankenberg,unnverändert,Wirlicher Geheimer Rat,Amtshauptmann der Aemter Leuchtenburg  und Orlamünde,,,,,Seine Excellenz,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506999,Johann von Rothkirch und Trach,Johann von Rothkirch und Trach,unnverändert,Wirlicher Geheimer Rat,Canzler zu Altenburg,,,,Altenburg,Seine Excellenz,,,,,,,
Deutsche Expedition,Q506890,,Q18708,Johann Christian von Hoff,Johann Christian von Hoff,unverändert,Legitions-Rath,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q14201,Ludwig Christian Lichtenberg,Ludwig Christian Lichtenberg,unverändert,Geheimer -Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Friedrich Heinrich Carl Lauretii,Friedrich Heinrich Carl Lauretii,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q10781,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,unverändert,Legitions-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q507011,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q507003,Abraham Samuel Perrin,Abraham Samuel Perrin,unverändert,Geheimer Post-Secetarius,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q99153,Philipp Friedrich Welker,Philipp Friedrich Welker,adere Qualli,Geheimer Archivar,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Johann Carl Friedrich Jenichen,Johann Carl Friedrich Jenichen,unverändert,Legat. Secretar,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q507006,Michael Siegmund Christian Weißenborn,Michael Siegmund Christian Weißenborn,unverändert,Geheimer Canzley-Registrator,,,,,,,,,,,,,
